Name,Publisher,Version,Licenses,Provenance
intellij-community,jetbrains,pycharm/231.8109.91,Apache-2.0,Unknown
hacktoberfest-2020,crystal-bit,a8a2533,GPL-3.0-only,Unknown
noise,Nathan3-14,V3.0,None,Unknown
godot-demo-projects,godotengine,3.2-57baf0a,MIT,Unknown
xalan-test,apache,xalan_2_0_0,Apache-2.0,Unknown
gdb,pantacor/build-deps,binutils-csl-sourcerygxx-4_1-4,None,Unknown
gdscript,IceExplosive,2.0.0,MIT,Unknown
dotnet-freebsd-crossbuild,Thefrank,7.0.100-preview.7.22353.99-freebsd-arm64,"Unknown, MIT",Unknown
runtime,dotnet,5.0.0-preview.8.20407.11,"BSD-3-Clause, Zlib, MIT",Unknown
segsengine,segs,4.0.0.7-alpha,"MIT, Libpng, CC0-1.0, Unknown, Unknown, ISC, Apache-2.0, Zlib, BSD-3-Clause, Unknown, Unknown",Unknown
Godot.NET.Sdk,nuget,4.4.0-dev.3,MIT,Unknown
pandemonium_engine,Relintai,4.0.0,"MIT, Libpng, Unknown, CC0-1.0, Unknown, Unknown, Unlicense, ISC, Apache-2.0, Zlib, BSD-3-Clause, BSD-2-Clause, Unknown",Unknown
thorvg,thorvg,0.15.5,MIT,Unknown
ProjectF,umerov1999,67,"GPL-3.0-only, Unknown",Unknown
thorvg,samsung,0.13.5,MIT,Unknown
Bforartists,Bforartists,2.69,"Unknown, CC0-1.0, Unknown, Python-2.0, Unknown, Apache-2.0, MIT, BSD-3-Clause, BSL-1.0, MPL-2.0, Unknown, BSD-3-Clause-LBNL, GPL-3.0-only, Zlib, BSD-2-Clause, Unknown, Unknown, Unknown, GPL-2.0-only, Unknown, Unknown",Unknown
smol-v,aras-p,9dd54c3,"BSD-3-Clause, Unknown, Unknown",Unknown
r128,fahickman,6fc1776,Unlicense,Unknown
FastLZ,ariya,0.5.0,MIT,Unknown
stb,nothings,3a11740,"Unlicense, Unknown, Unknown, MIT",Unknown
bcdec,iorange,3b29f8f,Unknown,Unknown
qoa,phoboslab,a2d927f,MIT,Unknown
dps8m,dps8m,b78a2200,"BSD-3-Clause, Unknown, Unknown, MIT",Unknown
corev-gcc,openhwgroup,a6c793a,"LGPL-3.0-only, LGPL-2.1-only, BSD-3-Clause, GPL-2.0-only, BSD-2-Clause",Unknown
ydb,ydb-platform,CLI_2.1.0,Apache-2.0,Unknown
libbacktrace,ianlancetaylor,d48f840,BSD-3-Clause,Unknown
src,netbsd,241d5d7,"GPL-1.0-or-later, GPL-1.0-only, Unknown, Unknown, ISC, Apache-2.0, MIT, BSD-3-Clause, Unknown, Unknown, BSL-1.0, MPL-2.0, Unknown, OLDAP-2.8, bzip2-1.0.6, Unknown, Unknown, Unknown, GPL-3.0-only, Unknown, SMLNJ, Zlib, BSD-2-Clause, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, CPL-1.0, Unknown, Unknown, Unknown, GPL-2.0-only, Unknown, OpenSSL, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown",Unknown
fluent-bit,fluent,1.4.3,"Unknown, CC0-1.0, Unknown, Unknown, NTP, Apache-2.0, MIT, BSD-3-Clause, BSD-2-Clause, Unknown, Unknown",Unknown
Dolphin-MPN,MarioPartyNetplay,4/23/22,"GPL-2.0-or-later, GPL-3.0-only",Unknown
vengi,mgerhardy,0.0.21,"MIT, Artistic-1.0-Perl, Unknown, Unknown, Unknown, Unknown, CC-BY-3.0, Unknown, Unknown, Zlib, BSD-3-Clause",Unknown
enet,lsalzman,1.3.0,MIT,Unknown
KTX-Software,KhronosGroup,4.3.0-beta1,"MIT, Unknown, CC0-1.0, Unknown, Unknown, Unknown, Unknown, Apache-2.0, Unknown, BSD-3-Clause",Unknown
VulkanPBRT,Lachei,684f7d3,"Apache-2.0, MIT",Unknown
tesseract,lsalzman,7dc2087,None,Unknown
xsbs,greghaynes,2.2,None,Unknown
enet,enet,1.3.12,None,Unknown
enigma,enigma-game,0.92,GPL-2.0-only,Unknown
meshoptimizer,zeux,0.22,MIT,Unknown
ezengine,ezengine,147218c,MIT,Unknown
app-wasm,webaverse,d8b3097,None,Unknown
pegasus-frontend,mmatyas,alpha1,"Unknown, Python-2.0, Unknown",Unknown
bgfx,bkaradzic,dd4199b,BSD-2-Clause,Unknown
filament,google,sceneform-1.7pr2,Apache-2.0,Unknown
libpng,glennrp,1.6.41,"Libpng, Unknown, Unknown, Unknown, MIT, GPL-2.0-only, Unknown",Unknown
