Name,Publisher,Version,Licenses,Provenance
rife-ncnn-vulkan-python,ArchieMeng,1.1.0,"BSD-3-Clause, Unknown, MIT",Unknown
udpsample,webmproject,163fc9c,"BSD-3-Clause, Unknown",Unknown
firefox,AOSC-Tracking,130.0,"Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Zlib, CC-BY-SA-4.0, Unknown, ClArtistic, Unknown, Unknown, Unknown, Unknown, Unknown, curl, Unknown, Unknown, Unknown, Unknown, Unknown, BSD-2-Clause-Views, Unknown, Unknown, Apache-2.0, Unknown, LGPL-3.0-only, Unknown, Unknown, MPL-2.0, Unknown, BSD-Protection, Unknown, Unknown, Unknown, Unknown, BSD-2-Clause, Unknown, blessing, Unknown, Unknown, OFL-1.1, Unknown, BSD-Source-Code, Unknown, Unknown, Unknown, Unknown, ISC, BSD-3-Clause, Libpng, OLDAP-2.8, BSD-3-Clause-Clear, Unknown, Unknown, Unknown, Unknown, GPL-3.0-only, Unknown, FSFAP, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Python-2.0, MIT, Unknown, BSL-1.0, Unknown, Unknown, bzip2-1.0.6, Unknown, Unknown, Unknown, Unknown, GPL-2.0-only, CC-BY-SA-3.0, Unknown, LGPL-2.1-only, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown",Unknown
manifold,elalish,3.0.0,"BSD-3-Clause, Apache-2.0, MIT",Unknown
wickedengine,turanszkij,0.71.137,"BSD-3-Clause, Unknown, MIT",Unknown
vanguardengine,adepke,437bb8a,MIT,Unknown
FidelityFX-FSR2,GPUOpen-Effects,2.2.0,MIT,Unknown
Vulkan-Headers,KhronosGroup,1.3.282,"Unknown, Unknown, Apache-2.0, MIT",Unknown
Alabaster,edvn0,0.0.3,MIT,Unknown
Vulkan-Docs,KhronosGroup,1.3.275,"Apache-2.0, MIT",Unknown
vulkanmemoryallocator,gpuopen-librariesandsdks,19b940e,MIT,Unknown
vulkan-hpp,khronosgroup,1.3.280,"Apache-2.0, MIT",Unknown
MoltenVK,KhronosGroup,1.2.7-rc1,Apache-2.0,Unknown
zstd,unypkg,1.5.6-2024-04-05T18.30.52Z,"BSD-3-Clause, GPL-2.0-only, Unknown",Unknown
zstd,facebook,a58b48e,"BSD-3-Clause, GPL-2.0-only",Unknown
Fenrir-for-VK,umerov1999,EOF-3,"BSD-3-Clause, GPL-2.0-only, GPL-3.0-only",Unknown
build-tools,loongson,2024.06.01,"Unknown, Unknown, Unknown, ISC, Apache-2.0, MIT, BSD-3-Clause, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, 0BSD, Unknown, Unknown, Unknown, GPL-3.0-only, MIT-0, Unknown, BSD-2-Clause, Unknown, Unknown, Unknown, Unknown, GPL-2.0-only, curl, WTFPL, LGPL-2.1-only, Unknown, Unknown, Unknown",Unknown
stage1,unypkg,2024-04-05T18.30.52Z,"Unknown, Zlib, bzip2-1.0.6, MS-RL, Unknown, Unlicense, Unknown, Unknown, GPL-3.0-only, MIT, BSD-3-Clause, GPL-2.0-only, BSD-2-Clause, Unknown, Unknown",Unknown
ZELDA-TOTK-ZSdecomp,SilverEzredes,1.0.0,"BSD-3-Clause, GPL-2.0-only",Unknown
csbindgen,Cysharp,0.1.1,"BSD-3-Clause, GPL-2.0-only, MIT",Unknown
zstd,Sergey Dryabzhinsky; Anton Stuk,1.5.4.0,"BSD-3-Clause, GPL-2.0-only, 0BSD",Unknown
theora,theora,1.2.0alpha1,None,Unknown
unvanquished,unvanquished,0.2.5-deb,"BSD-3-Clause, Zlib",Unknown
love-android,love2d,0.10.0,"Libpng, Unknown, Unknown, LGPL-2.1-only, Unknown, Unknown, Unknown, MIT, BSD-3-Clause, Unknown, GPL-2.0-only, LGPL-2.0-only, JasPer-2.0",Unknown
theoraplayer,aprilandfriends,a85af45,"BSD-3-Clause, BSD-2-Clause",Unknown
services-central-old,rnewman,thunderbird_3_3a1_release,"Unknown, Unknown, Unknown, ISC, Apache-2.0, MIT, BSD-3-Clause, Libpng, bzip2-1.0.6, Unknown, BSD-Protection, Unknown, Unknown, Unknown, Unknown, LGPL-2.1-only, Unknown, Unknown, MIT-Modern-Variant",Unknown
theora,xiph,7180717,BSD-3-Clause,Unknown
FFMPEG,ztwlla,31077f5,"BSD-3-Clause, MIT",Unknown
wmelite_theoraplayer,hcdaniel,1.0.0,BSD-3-Clause,Unknown
xray-oxygen,daagvda,8535ffe,BSD-3-Clause,Unknown
EGL-Registry,KhronosGroup,f4cc936,Apache-2.0,Unknown
supernova,supernovaengine,0.3.3,"Zlib, MIT",Unknown
JoltPhysicsSharp,amerkoleci,0cb55e5,MIT,Unknown
JoltPhysics,jrouwe,5.2.0,"LGPL-3.0-only, MIT",Unknown
NauEditorPublic,NauEngine,0.10.1,"Unknown, BSL-1.0, LGPL-2.1-only, MIT",Unknown
aria2,aria2,release-1.36.0,"GPL-2.0-only, MIT",Unknown
wslay,tatsuhiro-t,0e7d106,MIT,Unknown
pulseaudio,otcshare,8.99.1,"Unknown, GPL-1.0-or-later, Unknown, Unknown, LGPL-2.1-or-later, Unknown, Unknown",Unknown
pulseaudio,pulseaudio,5.99.3,"Unknown, Unknown, Unknown, LGPL-2.1-or-later, Unknown, Unknown",Unknown
speech-dispatcher-contrib,speech-dispatcher-contrib,0.8.8.orig,"LGPL-2.1-or-later, Unknown",Unknown
speechd,brailcom,0.8.8,"LGPL-2.1-or-later, GPL-2.0-only, Unknown, Unknown",Unknown
dbus,freedesktop,1.11.8,"GPL-2.0-or-later, AFL-2.1",Unknown
dbus,dbus,1.7.6-2,"GPL-2.0-or-later, Unknown, AFL-2.1, Unknown",Unknown
dbus,d-bus,1.5.10,"GPL-2.0-or-later, AFL-2.1, Unknown",Unknown
wayland,wayland-project,1.20.91,MIT,Unknown
kiosk_system_x86_64,nerves-web-kiosk,1.0.0,"Unknown, Unknown, Unknown, Unknown, GPL-2.0-or-later, Unknown, ISC, Apache-2.0, Unknown, Unknown, AFL-2.0",Unknown
vcxsrv,ArcticaProject,1.15.0.1,GPL-3.0-only,Unknown
xorg-xorgproto,freedesktop,xorgproto-2021.4,"MIT-open-group, HPND",Unknown
massos,massos-linux,2022.08,"Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Zlib, Unknown, Unknown, JasPer-2.0, Unknown, Unknown, Unknown, Unknown, MPL-1.0, Unknown, Unknown, Unknown, Unknown, curl, WTFPL, Unknown, Unknown, Unknown, AGPL-3.0-only, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Apache-2.0, Unknown, Unknown, LGPL-3.0-only, Unknown, Unknown, Unknown, MPL-2.0, Unknown, Unknown, Unknown, Unknown, GPL-2.0-or-later, Vim, Unknown, BSD-2-Clause, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, OFL-1.1, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, ISC, EPL-1.0, BSD-3-Clause, Unknown, Unknown, Unknown, Libpng, Unknown, Unknown, OLDAP-2.8, Unknown, Unknown, Unknown, GPL-3.0-only, Unknown, X11-distribute-modifications-variant, LGPL-2.0-only, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, HPND-sell-variant, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, OpenSSL, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Artistic-2.0, Unknown, Unknown, MIT-open-group, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, MIT, Unknown, Unknown, Unknown, Unknown, Unknown, bzip2-1.0.6, Unknown, 0BSD, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, HPND, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, X11, NTP, Unknown, Unknown, Unknown, Unknown, Unknown, GPL-2.0-only, Unknown, Unknown, Unknown, Unknown, LGPL-2.1-only, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown",Unknown
vcxsrv,jagd,0.1,MIT-open-group,Unknown
ubuntu-on-android,randomcoderorg,3,"MIT-open-group, Unknown, MPL-2.0, Unknown, Python-2.0, Unknown, Unknown, Apache-2.0, MIT, BSD-3-Clause, GPL-2.0-only, GPL-3.0-only, Unknown, Unknown",Unknown
libx11,mirror,1.5.99.901,"MIT-open-group, HPND",Unknown
unix-history-repo,dspinellis,bsd-4_4,None,Unknown
x11,nomad-software,1.0.0,"MIT-open-group, HPND, BSL-1.0, LGPL-3.0-only",Unknown
macos,apple-open-source,10.7,"Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, BSD-3-Clause-Open-MPI, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, BSD-2-Clause-Patent, Unknown, Unknown, Libpng, BSD-3-Clause-Clear, Unknown, Unknown, Unknown, Unknown, X11-distribute-modifications-variant, LGPL-2.0-only, Unknown, Unknown, Unknown, OpenSSL, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, X11, Unknown, Apache-1.1, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Zlib, SMLNJ, Unknown, Unknown, curl, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, BSD-2-Clause, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, FSFULLR, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, GPL-2.0-only, Unknown, Unknown, Unknown, BSD-4-Clause, CC-BY-SA-3.0, Unknown, Unknown, Zend-2.0, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, PHP-3.01, Unknown, Unknown, Unknown, BSD-Source-Code, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, JPNIC, Unknown, Unknown, ISC, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, TCL, Unknown, ANTLR-PD, Unknown, MIT, Unknown, Unknown, Unknown, bzip2-1.0.6, MIT-CMU, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, OLDAP-2.7, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, SGI-B-2.0, Unknown, MPL-1.1, Unknown, Unknown, Unknown, GPL-1.0-only, Unknown, Apache-2.0, Unknown, Unknown, Vim, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, BSD-3-Clause, Unknown, Unknown, OLDAP-2.8, Unknown, Unknown, Unknown, GPL-3.0-only, Unknown, Unknown, Unknown, Unknown, HPND-sell-variant, Bitstream-Charter, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Artistic-2.0, MIT-open-group, Unknown, IPL-1.0, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, ICU, Unknown, Unknown, Unknown, Unknown, HPND, Unknown, NTP, Unknown, Unknown, Unknown, LGPL-2.1-only, Unknown, Unknown, Unknown",Unknown
xorg-libXfixes,freedesktop,libXfixes-6.0.0,"HPND-sell-variant, MIT",Unknown
flinux,flyskywhy,4c2e56a,"GPL-3.0-only, HPND-sell-variant",Unknown
bitrig-xenocara,bitrig,sync_20140609,MIT,Unknown
alsa-lib,alsa-project,1.1.2,"LGPL-2.1-or-later, GPL-2.0-only, LGPL-2.1-only",Unknown
alsa-lib,alsa-lib,1.1.3,None,Unknown
libxcursor,libxcursor,1.2.0.orig,HPND-sell-variant,Unknown
libxrender,libxrender,0.9.7.orig,"Unknown, Unknown, HPND-sell-variant, Unknown",Unknown
termux-wayland,suhan-paradkar,1.0,"MIT-open-group, HPND, Unknown, MIT",Unknown
libxkbcommon,xkbcommon,xkbcommon-1.1.0,"HPND, Unknown, Unknown, X11, MIT",Unknown
msdfgen,chlumsky,aa9478e,MIT,Unknown
msdfgen,lonewolfstudios,1.9,"BSD-3-Clause, MIT",Unknown
libdecor-0,libdecor-0,0.1.99~git20230907-1,"MIT, Unknown",Unknown
linaro-multimedia-ucm,launchpad,2011.12,"GPL-2.0-or-later, GPL-2.0-only",Unknown
kernel,openSUSE,2.6.3-rc1,"GPL-2.0-only, Unknown",Unknown
ircd-ratbox,ircd-ratbox,3.0.7.dfsg-1,"GPL-2.0-or-later, GPL-2.0-only",Unknown
pcre2,philiphazel,10.43-RC1,"BSD-3-Clause, Unknown",Unknown
pcre,rurban,86919c9,"BSD-3-Clause, Unknown",Unknown
pcre2,pcre2project,10.43,"Unknown, GPL-3.0-only",Unknown
sqlean,nalgeon,0.18.0,"BSD-3-Clause, CC0-1.0, MIT",Unknown
superstring,Nathan Sobo,1.3.0-2,"BSD-3-Clause, MIT",Unknown
pcre2-win-build,kiyolee,10.35,"BSD-3-Clause, Unknown",Unknown
sljit,zherczeg,4212818,BSD-2-Clause,Unknown
astc-encoder,ARM-software,4.8.0,Apache-2.0,Unknown
DirectX-Headers,microsoft,1.710.0-preview,MIT,Unknown
XUSG,StarsX,4.0,MIT,Unknown
terrafx.interop.windows,terrafx,10.0.22621.4,MIT,Unknown
Vortice.Windows,amerkoleci,1.9.130,"Unknown, Unknown, Unknown, MIT",Unknown
fidelityfx-fsr,gpuopen-effects,1.0,MIT,Unknown
UnrealEngine,chenyong2github,ssr-dev,Apache-2.0,Unknown
The-Forge,ConfettiFX,1.56,"Zlib, OFL-1.1, Unknown, Unknown, Apache-2.0, MIT, BSD-3-Clause, BSD-2-Clause, Unknown",Unknown
android-activity,rust-mobile,0.5.0-beta.0,"Unknown, Apache-2.0",Unknown
recastnavigation,recastnavigation,1.6.0,"MIT, Zlib",Unknown
moon,sniper00,0.8,"Zlib, MIT",Unknown
unreal-engine-4.19.2,andra-games-entertainment,4.19.0-preview-1,"CC-BY-NC-SA-3.0, Apache-2.0, MIT, BSD-3-Clause, Unknown, Unknown, Libpng, MPL-2.0, Unknown, Unknown, GPL-3.0-only, Zlib, BSD-2-Clause, Unknown, Unknown, LGPL-2.0-only, Unknown, ClArtistic, Unknown, Unknown, Unknown, GPL-2.0-only, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown",Unknown
bullet3,bulletphysics,2.84,"MIT, CC-BY-SA-3.0, MPL-2.0, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Apache-2.0, Zlib, BSD-3-Clause, BSD-2-Clause, Unknown",Unknown
v-hacd,kmammou,1a49edf,"BSD-3-Clause, BSD-2-Clause",Unknown
v-hacd,virneo,ef3d46b,None,Unknown
ufbx,ufbx,0.15.0,Unknown,Unknown
vhacd,unity-technologies,refs/heads/master,"BSD-2-Clause, Apache-2.0",Unknown
lib-ledger-core,LedgerHQ,0.9.0,MIT,Unknown
hardenedbsd-stable,hardenedbsd,hardenedbsd-10-stable-20151204-1,"Unknown, OpenSSL",Unknown
openssl,bilibili,0_9_2b,Apache-2.0,Unknown
openssl,gitlab-org/build/omnibus-mirror,1_0_1n,"Unknown, BSD-2-Clause",Unknown
openssl,openssl,1_0_1u,"Unknown, GPL-2.0-only, OpenSSL, Apache-2.0",Unknown
openssl,luo1291250810,1_0_2k,"GPL-2.0-only, BSD-2-Clause, OpenSSL",Unknown
openssl,blurrr,0_9_8,"BSD-2-Clause, OpenSSL",Unknown
platform_external_openssl,aosp-mirror,android-4.3.1_r1,"GPL-2.0-only, OpenSSL",Unknown
openssl,pointerra,engine-0_9_6-beta1,Unknown,Unknown
hibernate-orm,hibernate,4.0.0.beta1,AGPL-3.0-only,Unknown
freebsd10_vendor,sobomax,FreeBSD.RELENG_10_2.295455,BSD-2-Clause,Unknown
openspotify,noahwilliamsson,570b95d,"Unknown, BSD-2-Clause",Unknown
postgresapp,postgresapp,9.3.12,"PostgreSQL, Unknown, OpenSSL, MIT",Unknown
heimdal,heimdal,0.0j,"Unlicense, BSD-3-Clause",Unknown
lorikeet-heimdal,samba-team/devel,heimdal-0.0j,None,Unknown
illumos-extra,joyent,20150319,"CDDL-1.0, Unknown, OpenSSL",Unknown
openbsd,libressl-portable,4_2_base,"ISC, Unknown, MIT",Unknown
libcapn,adobkin,2.0.0-beta,"Unknown, BSD-2-Clause, OpenSSL, MIT",Unknown
openssl-android,devpack,507a5cd,"BSD-3-Clause, OpenSSL",Unknown
openssl-dstu,dstucrypt,OpenSSL_1_0_1c,OpenSSL,Unknown
globus-toolkit,globus,OPENSSL_0_9_7c,Apache-2.0,Unknown
bud,indutny,1.3.7,None,Unknown
manpages-fr-extra,manpages-fr-extra,20130226,None,Unknown
node,electron,0.10.41,"Unknown, ISC, Unknown, MIT, BSD-3-Clause, Unknown, MITNFA, Apache-2.0, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, bzip2-1.0.6, Unknown, Unknown, Unknown, MIT-0, MIT-Wu, BSD-2-Clause, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unlicense, NTP, Unknown, Unknown, Unknown, Unknown, Unknown, OpenSSL, Unknown, WTFPL, LGPL-2.1-only, Unknown, Unknown",Unknown
streamster2-pyopenssl,mysterie,70129ca,None,Unknown
src,tworaz,3ef3701,None,Unknown
openssl-cmake,pol51,openssl_1_0_2b,None,Unknown
airyx,mszoek,release/4.8.0,"GPL-1.0-or-later, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Zlib, SMLNJ, libtiff, Unknown, Unknown, Unknown, curl, Unknown, Unknown, Unknown, Unknown, GPL-1.0-only, Unknown, Apache-2.0, CDDL-1.0, Unknown, Unknown, BSD-4-Clause-UC, Unknown, Unknown, Unknown, Unknown, Unknown, BSD-2-Clause, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, ISC, BSD-3-Clause, Unknown, Unknown, Unknown, Libpng, Unknown, Unknown, Unknown, GPL-3.0-only, Unknown, X11-distribute-modifications-variant, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, OpenSSL, Unknown, Unknown, Unknown, Unknown, Sendmail, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, MIT, bzip2-1.0.6, Unknown, Unknown, MS-RL, 0BSD, Unknown, Unknown, Unknown, Unknown, GPL-2.0-only, LGPL-2.1-only, Unknown, Unknown, Unknown, Unknown, Unknown",Unknown
